Comment,Target
Planned to tha hi Delhi police itni saari false FIR se kise bacha ki koshish kar rahi,0
No shit Sherlock,0
Tell me something i dont know,0
Jail mein hi sada do salon ko,1
If it took this long for this to come out then its gonna take years to keep these things under control,0
Ab aaya bhosdiwalo ko smj,1
Pretending I didnt know that,0
Should I be surprised,0
Delhi riots Banglore riots red fort so called farmers protest etc Sab ke sab pre planned the,1
Sarcastic AF,0
The most peaceful religion in the world,0
HC judge should reassign,0
PIECEFUL,0
Meanwhile Pissful would be like so much oppression on them even court is not giving us justice Pissful phobia is growing and Sanghi Courts not giving us justice,1
Me to high court tumhara sabun slow hai kya like ye to sabko pta thi,0
Surprise mf,1
Ohh that was a peaceful protest It always ia peaceful,1
Waise inhe ab pata chal raha hai Like seriously,0
Hum suru se keh rahein the,0
No riot takes place in a spur of the moment You cant get access to crude bombs and other stuffs overnight on such a large scale Motive was to highlight the issue as US President was in Delhi along with all the Western media,0
OMG really,0
Jaldi se comment kar deta hu ki RSS ideology follow kr rhe judge log bi Kyuki hum toh peaceful hai,1
Librandus ke Abba and Pappu ke chde nai manenge,1
Isnt effects of NWO is getting worser day by dayand people wont get it straight because they dont know what NWO is,0
Public already got this court still investigating and rioters are free like AAP congress goons who were involved in it,0
Liberals be like Oh no oh no oh no no no no,0
Well well how unexpected,0
Delhi police lath bajao ek ek me jo bhi tha,0
Still kapil Mishras speech is responsible south delhi ki Lavanya,0
trying to act shocked,0
ajinkya Abe yaar,0
Hn to tahir hussain ekdm se thodi itta sab intzam kar sakta tha use to kejriwal pichle saal se training de raha tha,0
Everyone knows men were brought from UP by Yogi g to clean mosques by climbing on top of it and celebrate diwali,1
Delhi Yindus Hum rs ke bijli ke liye bik jaenge ki,1
Kuch naya batao bhyi,0
Madarsa me pdhai hi yhi hoti hai,0
Aam aadmi party ki full funding,0
HC bhi Bhakt hai kya,1
ExpectationsKejriwal wants to convert Delhi into London RealityKejriwal converted Delhi into Syria,0
wow we never knew,0
Jaise hame pata hi nahi tha,0
Arrest those who planned and shoot out them in encounter,0
bot are religion se kya karna hai bhai crime hua hai usme religion kyu chahiye,0
same condition bcz we already knw what hppn here in islamic books it is called jihad rather than calling riots madarsa chaap,1
Lmao these liberal fccks couldnt achieve anything from this,1
Ofcourse its true it was planned no surprise they couldnt do anything in there ANTI CAA drama so they played this game but atlast who suffered they themselves hope they enjoyed it then blame goes to GOVT,0
I guess Im gonna see sanghi court no justice for oppressed Democracy Dead posts soon,0
Liberandus phir bhi nahi maangenge bro,1
Ohh ya we know that Peaceful people are well trained in it,0
Tell me something new,0
Of course it was,0
ab Bolenge Delhi HC is under BJP,0
Le Liberandu I have lost faith in Judiciary,1
Plz post about the new R covid variant,0
public domain me Dal do nah,0
send in your videos nah,0
Wire after all Have you ever spoken the truth its very evident who the conspirators and the implimentors are there has been in record previous attempts to making the RSS and Hindu community and failed these lies you spread are working only with those who you are trying to cover up nobody else,0
and pm nehru give chance to rss to march on independence day,0
when law does not have anything about indian muslims why they fool people protesting,1
sorry I thought ur tlking the other way round,0
mujhe toh nhi mila bhai hawa mein toh nhi kar deya,0
waah bhai meme toh bht accha beja tha tuna Bht facts pata hai aapko bas ek video hai aapkey pass Y wasnt this video shown on mein stream media,0
and ur worried about this video not being included on the post,0
Salute,0
This is why I hate religion,1
No one fooled none It was a protest a demand to the govt to upheld the sanctity of the constitution and its value and to repeal the doctorial diktat in garb of Democracy Dont forget this govt is not permanent It can be uprooted by peoples power,0
So what Nehru invited them with a wish to come to mainstream not to do commit act of goondaism,1
RIP,0
Proud of your fear less work May Almighty protect you all from the evil Keep up the good work We need Media like yours Jai Hind,0
its okay,0
Waiting for this,0
Hats off to this Real Journalism,0
Its terrible,0
bjp be like yeh wire humara secular India Soros ke kehne pe todna chahte hai,0
Chi shame on u dont u have a bit shame also dont u have a bit self respect also chi thu u r literally showing as if Hindus did everything relating with violence during the anti CAA protests and as if muslims didnt do anything and they as if they were literally torchered and killed etc u r showing as if those idiots Umar Khalid and others havent done anything and the police has arrested them for no reason CHI SHAME ON U Only bcz of such wrong and bad infos only India is filled with violence and these so called sekooolar Hindus have shut their mouth and dont speak or raise their voice on any such things Chi thu nan ekda,1
njum to thoda google korlo facts pata chal jayega,0
Excellent,0
Waiting to see the truth,0
Hats off to you guys this is called journalism,0
Wire and NDTV reporting of delhi riot are overwhelmingly similar by sentences Surprising,0
Well done Wire,0
Excellent work sir Really proud of you all Please continue these kind of investigations and the face of real culprits will come out with proofs,0
Jab tak bjp ye hota hi rahega Repeat,0
Commendable Job my ass you filthy people are also one part of violence by always portraying the half and misleading news,0
allah sab dekh raha hai inshallah bhot jald allah ki maar padegi in par allah faisla karega firon hi ni bach saka allah ki maar se jake history uthake padlo allah ne firon ki kya halat kardi aur use ibrat banadia,0
Good job I wish I can donate generously for the kind of work you guys do History will remember you for your honest reporting,0
Excellent work Kudos to whole Wire Team highly appreciated keep up the true journalism alive for better tomorrow,0
Dear team The Wire When history of this darkest era of India will ever be written a very few media like The Wire Frontline Caravan will be able to raise their head in proud Basically a split and weak citizen is more responsible for a corrupt government Nice to see your bold coverage over this sensitive matter We are proud of you Jai Hind,0
So btw what u understood by ma comment,0
U must have done some phd to get that type of knowledge read ma comment once again aur samaj nai aye,0
To pure mohelle ko le jaiyo mental hospital,0
Why do you always cover just one side of the story and show the situation exact opposite Just asking,0
because propganda falana inka kaam hai bro,0
Kapil Mishra ne Hindu k khilaf plan Kiya hoga Out of dead are Muslims and plan Kiya Muslim ne Hindu k khilaf Wah kon sa logic hai Musalman defend karta tha bas Jaan bachane k liye goli se Delhi police se RSS k fascist army se aur kehte hai Hindu k khilaf plan Kiya wo riot Bhai tum Jaisa anpad jahil insaan ne wo danga fasad suruwat ki Aadmi ko mar ke zinda jala k kisi k ghar tod k Masjid ko jala k Ram k naam le k hinsa kr k badnam bahot kara aur Khusiyan manaya tha na You people openly talked to killed or rape Muslims Watch how Kapil Mishra submitted to the reporters he satisfied with the killings though he lost the innocent intelligence officer and const Ratan Lal,0
Any proof Kaun hai ye fanatic Tell But extremists and right wing RSS and its affiliated people were those rioters Dont forget The video shows it all,0
njum your proof that hes the butcher of Gujarat Or that he didnt do anything for migrant workers You do know that a PMs job isnt to tweet They have a whole team of people who do it on their behalf and people on important positions take steps about problems before they find time to tweet Right Kapdo se pehchaniye is a pretty bad statement just like your chakka jam guys statement Also hes deserves the respect not bcoz of the sake of it but bcoz he is the democratically elected head of the govtunless you want to ramble about EVM hacking See I know you and many others have a dozen reasons to hate that man but in that hate you turn a blind eye to dozens of good stuff Congress was kind of a perpetrator in antisikh riots TMC is currently on a harassment spree of BJP workers in Bengal Shiv Sena has always been a bunch of powerful goons My point is politics is a dirty place and everyone has some bad things to hate but that doesnt mean you ignore the fact that Congress did handle the country well for all these years with few bad downs TMC did good work in past Shiv Sena still is good for those who share their values and so on You also have some flaws for sure but that doesnt mean people should stay fixated on that and ignore the good thingsif any you do I dont pretend I respect the post I dont respect Modi for being the PM I respect Modi bcoz hes the PM A huge difference if you can understand,0
njum nahh Youre kind of helping me understand how the liberal antimodi mind works Ignore the facts neglect the goods focus on bad things Till its Modi If its one of our own Support him even if he calls for a potential chaos or even massacre Well what are your thoughts on Tahir Hussain For all I know he could be an idol to you by now who had the petrol bombs just for selfprotection and killed people just to stay safe Right,0
Congress has invested in this channel I mean its like an open secret,0
Pehle kaha the k saal ho Gea is hadse ko ajj ankh khuli hai ab kyn us time kyn nhi modi ka darh tha ja unke paltuo ka why,0
Ragini or Kapil dehli riots de gundya nu bhenchod jail ch pao sale gande nali k kide,1
njum not to lay a burn on you but opposition parties have so little seats that they couldnt get enough criminals elected otherwise congress used to top that chart during UPA days And also no being a PM doesnt give you a clean chit but a clean chit by judiciary does Which apparently did happen and also during the UPA days so you cant even blame that he used his power He was cleared in but still people like you stick to the same notion You dont respect the PM post dont respect and value judiciary dont accept results when they are in favour of BJP dont see the goods done by current govt Its like dealing with a bunch of mentally blind people And guess who currently in the parliament has the most criminal cases against him A Congress party MP from Kerala with cases against himalone of current MPs of Congress have criminal cases against them out of and BJP stands at out of Still think its BJPs fault that criminals are being elected Moreover its us who elect them not the parties so no right in blaming the parties now,0
God bless you guys for showcasing the truth and courage,0
njum its good to call a spade a spade But calling a SC acquitted person a murderer Thats not exactly how that thing works And sure if you wanna stop now without having or giving facts for your argument Nice talking to you and bye If you ever have the courage and brain to selfcheck the facts then you should try googling things Youll get to know that not everything the headlines say is true Most wire articles which condemn Modi or govt in headlines have supporting points in the main articles itself Try reading the whole thing bcoz if you just look for the tip of the iceberg and try to course thru Youll sink no matter how mighty your Titanic is facts my friend Try to base your argument on facts not on what you perceive as the truth,0
njum yeah The headline says that But try going thru the whole article is the most number because other parties dont have that much total seats But percentage wise JDU tops the list with Cong on nd Headlines are sensationalised to make the paper catchy The very same article states the numbers which are more in favour of BJP than congress Cong BJP THESE ARE THE REAL FACTS NOT THE HEADLINES,0
patthar Marne ki pratha kaha se shuru hui he ye puri dubai janti h bhai,0
njum bye Have a nice day,0
I think you guys have made a mistake by posting a trailer This govt may be by the people but its certainly not for the people This govt is for the RSS And RSS owns everything now Every pillar of democracy Police inki courts bhi inke aur media bhi to a great extent inki,0
So I think your time is up The Wire,0
You guys are done for now Sedition If not that then some other law coming up soon to book you under the new TADAthe UAPA,0
Lets pray for the safety of everyone involved in this news project World is not the same as it was,0
o chacha dont put paint of fanatism over rssif you do not even know nothing about it,0
bhae phle starting me hindus hi mare the bd k dino me muslims ko target kiya gaya tga,1
Kapil Mishra iska master mind tha aur Sarkar support kar rahi thi,0
are you living in the riot areas How did u say this Keise hisab kiya aise Who gave the instigating statement Agar saam tak raahte se nahi hatein ga to we will do it in front of the cam and DPs high rank officers and on that same day that group started torching s of houses and the killing started,0
the world knows which organisation is RSS Even Sardar Patel banned it when he was the Home Minister of India,0
Toooooo much heartbreaking time it was dont wish to recall never shouldnt repeat it again,0
Excellent work love to see someone focusing on the right things keep up the good work,0
I m from the effected region Believing in justice is like YOU BELIEVE IN SAFED JUMERAT means THE SKY WILL FALL AND YOU WILL CATCH,0
justice is a mirage,0
Someone got the balls,0
Chronology of India riot congress wiped out again congress state chief in panjab again same here this govt will wipe out again after yr again this will form the govt future example of Indira Gandhi govt post emergency even they won election really such stupid we are,0
Great job for this video part,0
Thanks More power to you Expose the truth weather its Muslim or Hindu truth should prevail You cannot be human if you dont care about people being murdered by state sponsered terrorism Humans have died truth should open up,0
Thank you Wire,0
Thats some real journalism right there,0
abhi toh or dard denge in suwaro ko inko pal pal yaad dilaynge ki tum yha kirayadar ho ehsaan nahi kiya k baad tha rahne kaa,1
Where does one watch this,0
Only can do this in the whole of India I am a living witness,0
and what are you implying,0
Excellent looking forward to this,0
Dont need watch I can almost predict This channel is basically republic tv of left,0
Whats the points govt is doing this themselves all bjp kejriwal all r one and together in this carnage its politics it will always be the same,0
This is what true journalism means Thank you for having a spine and moral ethics,0
Waiting,0
Lets call it for what it is Sanghi Terrorism tbh,1
Thank you Soon this will b taken down Stupids will do it,0
You guys are doing actual journalism Excellent work,0
Shantidut,0
Kapil Mishra zindabad,0
agar rss ka program hota to har ek aatankwadi ko jannt mil jati,0
singh,0
Eagerly waiting for the detailed documentary,0
I mean we had the demolition that still hasnt been given the justice Delhi riots getting justice is a joke and Im a brahamin,0
mast joke tha,0
Ture journalnism,0
njum same like I could be calling for a friendly choking of your throat nothing bad in that Obviously you might die or suffer permanent brain hemorrhage due to suffocation but still its not what I want Im just asking for a slight choke,0
njum hmmm I guess you have a scale somewhere in your house where its marked that how someone earns a tag of chor or feku or something And just like that maybe someone who opposes congress has a scale somewhere in their house Its nothing new Just some bunch of mental retards engaging in dirty namecalling because the actual facts either dont settle with them or they dont know If you can justify tagging the incumbent head of our govt then theres no way I can even think of talking sensibly with you Im sure you must have been one of those who puts or as insta status to show how sensible you are and then go on to bad mouth the incumbent PM nice talking to you man Hope you grow up to be a good citizen with a little more maturity and hope someday you dont earn a tag just bcoz others dont share the same ideas as you,0
o bhae jara muslims k kitne fanatic organisation h jo isme involve the,0
bhai yeh anjum saare facts anti hindu news portal se padh ke aayi hai Iske dimak mai baat nhi jayegi Khud jab tahir hussain ne kubula ki riots were planned against hindus Phir bhi inhe bss yeh bola aata hai ki u saw godi media news and all But we all saw kaise Roof pe stones with catapult tyar kiye gaye thae kaise talwaro aur pattaro se hindus pe attack karya tha,0
ha jo stone catapult muslims ke gharo ke roof pe mile vo jaadu se aaye unke roof pe Bhai kitna bhi muslism ko bacha lo Lkin sab jante hai These riots were well planned against hindus,0
Wait Ye ladki hai Awww Fuck njum sorry agr ladki ho pehle btaya hota to mai pehle msg me hi sorry bolkr haar maan jata Mujhe lga ladka hai isliye koshish ki baat smjhane ki,1
do u have guts to make video on godhra incident Where muslism burnt hindus alive in a train,0
yes,0
You are towards saving the nation with the democracy thanks for your Workthe Wire,0
Good job,0
It all started from Kapil Mishra speech and the whole world knows it but he is roaming free why,0
This is cleared in our country that if you are uneducated strongly religious and blind follower of nonsense talks of any politicians those dont care about actual Social integrity means you can be the toy of such system where Brain wash is going on for devastation of humanityShameon one side Golden solidarity of India is there in History but at present it is lacking to be,0
For this to reach the larger audience please release this investigation in hindi as well,0
Bravo stay safe,0
Still people voted votes and will vote to,0
BJP just want to eradicate minorities,1
real guilty must be punished irrespective of the community they may belong,1
Wheres the link to full documentary,0
WIRE wale biased reporting krte bhae,0
njum man fuck republic opindia and fuck wire and scroll too Just go and watch news headlines from hindu or times of India Its humanly not possible to be completely unbiased but still your source is too biased against Modi You cant debate against evolution by quoting religious books and say that God made us as we are Same as that you cant say sharjeel didnt say anything bad by quoting a news source which tried to portray burhan wani as a loving son who wanted to be a cricketer but eventually picked up guns to kill innocents If youre gonna pick some sources atleast pick sources like Hindu which praise Modi for good works and bash him for poor decisions You cant be biased AF and then try to convince others to believe you Thats like Ram Rahim asking a girl to believe him and follow him to his cave,1
woke liberal bnne ke chkkr me log kaise bn jate hain aisi wokeness ki bimari se bdhiya AIDS ho jaye km se km log bechara hi bolenge chutiya nhi,1
Great Where is the video,0
Excellent true media,0
Journalism done Right,0
Why are we so afraid of Muslims I can understand the politics but I cant understand the individual psychology,0
i appriciate ur effort the wire,0
Be careful you will be labelled a terrorist and arrested Thats how the India dictatorship works,0
Yeahhhgreatt,0
Looking forward to the untold brutal truth,0
Amazing work Wire,0
Amazing work done,0
Bro I have nothing against your view points What actually bothers me is that knowing all the facts you still support this conspiracy of the govt Do have any answer to this Riots It could have been avoided the police didnt take the steps Are you proud of this BJP leader who was threatening of violence standing beside police personnel You really need to look into these facts and condemn it Im saying it politely to you Deshbhakt ho na aap toh Andha mat bano na,0
Bro See the whole vdo and read the whole discription,0
Your approach is biased sir,0
book likna tha bhai,0
haha lol Zyada ho gaya thoda Anyway Aaj ke time mein its needed,0
Thank you but again Bhakts are so hateful towards Muslims they will not think before hurting a Muslim,1
Real journalism good work keep going on,0
Failure of govt,0
Excited waiting overwhelmed,0
Bjp IT cell is gonna have their work cut out after this,0
because it cell is proof Nah Kapil Mishra Anurag Thakur Parvesh Sharma Gopal Sharma and many others who openly talked and involved in criminal activities are innocents nah Kitne saal tak Hindu Khattre me hain line k pichhe aise danga karonge minorities ko maronge zinda jalayengge Desh ko barbad korenge aur Khusiyan maneiyengge Thoda insaniyat bhi sikho Ekk din tum bhi maut sikari ban jayegi You cant skip this step U r not immortal man,0
tu jake pogo dekh aur ha abe lavde apna kaam kr na,1
bhai tu kuch bhi bol yaha sirf muslim ka baat krk unko seperate krnek boldia h ki agr tu muslim h toh tujhpr sawaal uthenge,0
hmm yahi hota hai iss page pr muslim ho toh sunodharm key naam pr Kiya jaa raha hai kyuki inkey aukau ki roti iss sey chalti hai,1
Bc tum jeso ki vajah se nafrat on point fel rhi hai is desh m Dikkat hai kya tumko mtlb koi nationalist govt kya aagyi is desh m tumhe toh chanuney kaatney lg gye hai Musalmaano ke dimaag ko brainwash krna bnd krdo Nw they r equal citizens of this country u fuckin bastard wire Nd dont ever post the story other way around coz bhaiya peeche toh pakistani baithe hai na ismey jo yeh propoganda chla rhe hai,1
Khao piyo khulla,0
mara bhi muslim dost ha,0
Wao BJP sa ziada tum jaisa media wala ho jo dash ko religion ka name pa bat raha ho Koi bhi crime ho to criminals victims ka pahala unka religion mention karta ho,0
parth sale chutiye yaha bhi tera zeher failane aa gaya,1
parth can you meet me one on one sale comments me kya takat dikha raha hai himmat hai to address likh tera,0
navajmalek zeher to bicchu failate hai aur wo to tum aur tumhari kaum hai,0
navajmalek Kate lodo se Milne ka koi Arman nahi,0
parth tu dekh bhosdiwale sab jagah gali tu de raha hai hum nahi bhad me gaya tu hijda road pe beth k taali baja,1
navajmalek aur tu khawaja sra bhag bhosdike apne AAP ko dekhlo pehle atankwad ke pillo,1
parth tuj m aur terrorist m koi fark nahi dikh raha mujhe sale chutiye mar ja kyun boj badha raha hi is dharti par kattr hindu nahi hai tu kattar chutiya hai tu,1
parth teri maa ne zarur pig aka suvvar ke sath sex kiya hoga tabhi tere jitna kamina paida huva Bhosdiwale wale sudhar ja warna tera mudi bhi nahi bachaye ga chutiye,1
parth akhirat mai tera ram Bhagwan tujhe kya bole ga pata hia sun le tujhe ram bole ga ki modi ka lawda chat ne tujhe Janam nahi diya tha kuch accha kam karta hindu muslim nahi but tu bhosdiwale nahi sudhre ga chat tere modi ka lawda,1
tm gujraat nhi bhoolte hum kashmir nhi bhulenge saaf baat so fuck secularism,1
respect yrinki condition sbse achhi yhi jbki inki khud siya sunni apas me lde h country country warjha kam wha bhai chara jha zyada wha kafirbest example kashmir genocide still hindustan ka musalman dara hua h cow tk ko chod nhi rhe uska bhi rape kr diye recently sabir ali named personye kre to secularism hum bole to hindu muslim hypocrisy at peak,1
le bhai vikas dubey is a terrorist khush ab saffron terror mt bol dena kyuki aisa kuch nhi but unka kya tere community se nikal rhe terrorist puri duniya me atank machaye h kuch jawab h,1
aur tera jo radical islamic terrorism h uska kya uspe kb aega bhai itni der se gyan chod rhe ho,1
abe bhosdk jihadi sale terrorist tmhara religion ka part h tbhi no quran no terrorism and life is awesome without allah ka hashtag trend hota hsale pura religion to cult h bloody madarsa chap peoplejake khin aur foot hope hope hoor mil jaye tereko bhi bc,1
kashmir hindu to secular people hum bhi pele gye h tum bhi pele jaoge,1
your comment makes me laugh joke of the day maro kato tmlog ilzaam hmpe daal do islam islam kafir ko maro pura genocide kr diya kashmir me dakar tk nhi liye hypocrisy at peak,1
i know fkking jihad very well,1
every bhakt ever oOo kAShMirI pAndiTs stfu man what about ALL INDIAN MUSLIMS,1
what uneducated bakwaas,1
itna sab k baad govt kbhi Kuch krti hi nahi hai,0
chutiya,1
ekdum chutiya h jisne bhi y post kiya,1
aur Jo isis join karte hai wo to Shanti ke pracharak hai na islam ke,1
RIP so called illiterate minority,1
avneet haha auto correct naam ki bhi chez hoti h bhai ek word glt likha gaya ussme aya bada sudharne Bhindrawale to h humara Sant hum to khule amm bolte h,0
Accept ka autocorrect expect kese ho gyaapne bhindivaale jesa chumtiya samjha h kya,1
Train incident k baad jo hua uspe bhi banao,0
release youtube pe hogi hoogi to AAP ko tag karna,0
Gujarat Files when bro,0
Le Khujaliwal are Vivek bhai g nahi maaro please,1
Burnol for liberals,1
maa chodd diye bhaiya ji aap to,1
bro nirbhaya rape case prr pehle se netflix pe series bni hui h Delhi Crimes se ye shyd sikh riots prr hogi,0
mazaa ayega na biru,0
Damn Ab bass Gujarat Files aur Bengal Files chahiye,0
tab to kashmir files ka start galat Hai bhai,0
abe chutiya h kya mlecha pta kya hota h,1
hinduo ka kya suffering tha usme,1
bhaiye wont believe it,0
naturelovermandeep bina facts ke movie nahi bna skte bhai agr facts nhi h to likhna pdta h not based on true events,0
aachaa bhai mera tho khandaan bhagalpur ka thaa Ab sb alg alg jgh hai bs jamin hai wahaan sunsan,0
YouTube par daal de Punjab mai to aap ki sarkar hai,0
Lolbhindiwala ko kuch chumtiye sant kehte h,1
avneet hahah beta Sant hi h wo aur modi ko tum jese apna baap mante ho,1
Har kisi ko baap bna lene ka shouk tere jese napunsako ka hota hogamhare nhisbke khandaantere khandaan jesa nalla nhi hota,1
avneet baap to h tera modi abhi ek gali phek ke marunga na modi ko teri gand jalegi to expect kyu nai krte,1
Bhai teri angrezi me judge nhi karna chahtaagar nhi aati to cool bnne ke lie angrezi shabd na use kror baaki bhindivaale ko gaali dene pr teri jali to tu bhindivale kakhare jaane do teri maa or bhindi vaale ke bich ka rishta se mujhe kya lena dena,0
yang caste RELIGION poltics naya hai kya Bhai,0
Good we hijdus dont need bhai chara with mleechas only hindus who have and seller themselves want bhaichara with mleechas,0
kyu tere Gand kyu jal raha hai hamesh aapiki community kigand kyu jal raha jai,1
Kuch problem hai tujhe Jo hinduo ko saach pata lagana mai,1
steybharat jab godhra train se start hoga tho,0
based also I wish he shows punjab files how sicks killed hindus in punjab and how Indra did bhindi Dey in punjab,1
eatingjaipur rajasthan files nahi chayhe bhai sab se zayada mulle ne Rajasthan Wale ki maara tha from th century,1
devamdev aapoko kuch takleef hai Vivek ji se,0
maybe nirbhaya or anti CAA,0
ya kashmir files he showe of truth of what kashmir Muslims did yo pandits tere community Wale kikyu jal raha hai aapiki saachayi bahar a Raja hai,0
wo usko marji hai wo konsi baneyga uski freedom hai agaar tikhe itna secualr hai to tu bana,0
kyu hinduo ka suffering tujhe propoganda lag raha jai,0
Jan tere Gand jalega,1
Two min silence for those who think they made movie to let indians know the history paiso ka chakkar babu bhai,0
kejruddin sultan of delhi too anxious,1
ye khud hi gaali sune wali baat krte hai,0
Go ahead man,0
Sab netao k kehne par ho rha h Indians ko sab pagal samjhte h,1
I want to see how KCR will insult this again,0
Kejriwal is the next PM of India,0
Feeling sad for AAP with others,0
Phle hindu apni side kreab sikhbc tez h bhotjai shree ram,0
need b nahi jane ki kyuki is movie toh issue khade hoge bahot two religions m bas Kyuki jruri nahi h movie m jo dikhaye voh truth ho ese lakee,0
Gujrat files mai bezzati mullo ki hone hai Train toh unhone h jalayi thi na Bilkul aane chahey,1
main culprit kaun tha Delhi riots ka Court ne kisko punish kiya AAP ka bada neta tha muslim thawho started and kill a police man also and jyada mare hai iska yeh matlab ni ki woh victim ho gayepathar phekna pura plan karna bharat ke tukde waali baat karna sab kuch saamne hai and Vivek agnihotri ki baat hi kaun kar raha hai jo sach hai woh hai,0
godra train incident train jala diya tha pura,0
bhagalpur muslim hatyakand hua thaa meri family wahi ki hai Jo palayan kr ke ab Katihar me rhne lgi thi muslims ko kata jaaa rha tha ganga ghaat ke paas aur truk me body load kr ke kachra me fenka jaa rha tha,0
accha kitna kama leta hai logon k beech Nafrat phelake History deklye vivek ki bahut acchi historical movie banata hai log haske jate hai aur roke aate haiAbe movie kabhi sach hoti hai kyaits emotional business,0
Kejriwal ka bhi to cameo hoga is movie me,0
Ab sari band padi files khulengi or public k samne aayengi,0
Burnol company to Vivek sir ek hi dil hain kitne bar jito gay,0
Gujurat files phir kab aayega,0
Waiting for Kurla Files,0
YouTube pe dal do,0
mere Dadaji ne aap avdi akhi vekhya Sara kuch te Mera comment tuhanu riots te genocide da difference vare likhya c Riots are a way process but in Delhi voters lists were given to mobs and sikh businesses were targetted and mass killings of SIKHS happenedmainu v pata hai k environment khrab ho reha Mera comment Kalla tuhade riot vale statement layi,0
Sikhs ke uper hn,0
Iss Film ke poster woh khud lagayenge,0
but i guess u didnt hear the kharegon clip where M were shouting loudly that chalo rape karenge Should I send u the clip,1
BJP Se pyar milta rahe,0
kejriwal sir ji btaenge filhal to Punjab me b vhi hai or delhi files nam h to delhi me bhi vhi h,0
kejruddin ke hone na hone se kuch nahi hota he is just a joker atankwaadi supporter this film will also reach people like jisko dukh ho raha hai Leave India,1
woh toh mai hi shuru ho gaya tha,0
maine comments pade all said ki aap leader ki halat kharaab mujhe hassi ayi es baat pe ki ye to mai aaye usse pehle kon tha ese to sudhar kam aur dekha jaye to en cheezo ke jariye to dhoodh ka dhula to koi bhi nhi hai sab ke sab chor hain kisi ne kam chori ki hai to kisi ne jayada bas fark itna sa hi hai,1
Ab fir protest peprotest ye jhanduo ko aur koikaam dhanda nhi hai,1
Sare rohingya ko nikalo madarchod,1
kaviraj chill maar bro Ola hu Uber,1
Ab toh zyada zaroori hai jab se Rinku Sharma waala kaand hua hai,0
katwi,1
mullo bakchodi band karo aur kagaz nukalo warna tumhari gaand desh se nikal di jayegi,1
ab Bhai sorry agar sentiment hurt hua Hain to but ye to Satya Hain rural area ke ek ek ko Bache hote Hain,0
Op motabhai op,0
Yesss hona chahiye,0
oho hit comment,0
Darjeeling bhi itna zyada,0
I m also a muslim but the population thing is really bad Mai ye belive karta hu ki aise areas mai acche education and awareness ki bohat zaroorat hai Having kids is not only bad for the society but also the parents who can have a huge financial situation if they are not earning enough Aur wasie bhi jo sach hai uspe joke karenge to bura nai lagta hai,0
Chutia k paththa koi kaam n h is sarkar ko barbad krke rkh dia desh kaam nh h or randi rona protests k khtm n krta,1
didi caa me kagaz nahi chahiye kuch bhi mat bolo,0
kaviraj jab se KHALISTANIYO ne Kudrati Biryani waalo se haath milaya hai,1
kaviraj bro jara batana kon public property ko nuksaan kiya bol to aise raha hai jaise highway hume khode,0
or laha lilkha hai kii langar mai biryani nai ban sakti,0
kaviraj to use damaging public property bolte gai gawar,0
kaviraj vro who said that kii jo th ko hua sahi hua,0
Chutiyastic thing ever done,1
oo malayali samadhanam ayi,0
Gorge Soros bol Raha Hoga ye,0
ke bad Nas bandi Karwa do Salo ki Dekh na Sab light green ho jaiyenge,1
Abb aayega maza bhidu,0
Harami chicken neck pe hi jake baithe hn,0
hindustan ghumane ke lie yaha rehna bhi to chahiye tu,1
Ab tak toh kagaz mil hi gye honge,0
Ye bsdk alag he chutiya haiGodra ka gunda,1
chup bsdk mota bhai ka tatta,1
Ab west Bengal me asli tandav hogaOP move,0
Ab du lullah,0
Momta ne itna Bacha paida kiya ka,0
Kissan krishi kanoon kab se start ho raha start woh toh batao,0
woh bol rahe ki census ke saath karenge,0
go ahead sir,0
YoYa is coming to protest,0
Chalo Delhi,0
Phir se protest hoga in sha Allah Nafrat ke khilaf awaaz uthayi jayegi Ab pure desh me hoga Na india Hindu rastra tha na he or na banega Jai hind jai Bharat india is a democratic country India jindabad Bjp gunda party bjp murdabad unko hatavo desh bachavo or desh ko todnese bachavo Bjp terrorist party bjp corrupted party BJP and RSS murdabad,1
Mota bhai implement karne se phle ka kuch kar lena,0
Hum sab iske paksh mai hai,0
maybe but not gau mutr for sure,1
One more picnic trip to delhi,0
jai shri ram,0
I feel something fucking good,1
Ye to sahi me Siliguri Corridor me baithe hai,0
Google namak cheez pr search krke aao kitne hindu aur kitne muslim maree the Agr google pr vishwas krte ho aur fake nhi bolte usko,0
kaviraj so what we cant eat whatever we want just because we are protestingI really dont understand ur bhakts logic,1
eat whatever you want Kudrati Biryani etc etc,0
Sari funding tho so called farmer protest Mai khatm Kar diye ye Wala kasie ho ghaya kuch tho socho mota Bhai andolanjivve logo ke liye,0
agar riots kare tho goli padegi inko kyuki ye farmers thodi hai inhe bas chup chap rothe hue bag pack karna hai,0
Remember goli maaro saalo ko,1
Ye aandolan jeevi fir jaag jynge,0
Mamta Bhi Bangladesh Niklegi Tb,1
Abhi kuch ate ghye andolanjivve khaye ghye asa Bhai hone dhe ghye lekin Mera ek question hai unse ki isbar pasie kha se aye ghye sab tho bar bad Kar Diya so called farmer protest Mai or abb tho String be bhi sabko expose Kar Diya pasie kha se loge ghye Canada or Pakistan talvee chatt Raha hai vaccine ke liyesoch Lena isbar kuch kia tho sidha goli pade ghye or tand wasie bhi hai danda he kaffe hoga,1
Ye hue na baat Mota bhai,0
Kaagaz dhund lo guys,0
